District,Activity,Type,Picture,Picture Link,Cost,Route,,,,Route Notes,Latitude,Longitute,Link,Description
Little Tokyo,Kinokuniya Bookstore,Chill,kino.jpg,"photo credit: <a href=""https://www.flickr.com/photos/brewbooks/871593870/"">brewbooks</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",$,720,2/302,,,720 ( to commerce center or downtown); 2/302 (to downtown),34.050448,-118.242296,http://www.kinokuniya.com/us/,"Chill shop to read animes, random books, and magazines"
,,,,,,,,,,,,,,
Beverly Hills ,Rodeo Drive,Chill,rodeo.png,,0,720,20,,,,34.056207,-118.39925,http://www.rodeodrive-shop.com/,Walk around to window shop at stores like Gucchi and Coach 
Beverly Hills ,Haraujuku,Food/Drink,hara.jpg,"photo credit: <a href=""https://www.flickr.com/photos/kristi-san/6885315516/"">kristisan</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,720,20,,,,34.071754,-118.40267,http://www.harajukucrepe.us/,For those crepe cravings
Beverly Hills ,Icecream Lab,Food/Drink,icecreamlab.png,phone,$,720,20,,,,34.071186,-118.403684,http://icecreamlab.com/,"Liquid nitrogen icecream- worth a visit to see it made, as it's a bit on the pricey side"
,,,,,,,,,,,,,,
Chinatown,Velveteria,Chill,vel.jpg,"photo credit: <a href=""https://www.flickr.com/photos/jamidwyer/2474407004/"">Jami Dwyer</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",$,2/302,,,,to downtown,34.060322,-118.238654,http://velveteria.com/,Pieces of art painted on velvet- $10
Chinatown,Dimsum,Food/Drink,dimsum.jpg,"photo credit: <a href=""https://www.flickr.com/photos/faikevin/3375076282/"">Kevin.Fai</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$,2/302,,,,to downtown,34.062086,-118.238659,http://www.yelp.com/search?find_desc=Chinatown+Dim+Sum&find_loc=Los+Angeles%2C+CA,Carts rolled around carrying different dim sum dishes- Bao Dim Sum as location.
,,,,,,,,,,,,,,
Downtown,Boba 7,Food/Drink,boba7.png,,$,720,20,,,,34.046818,-118.256337,http://www.labobatory.com/,Alcoholic boba drinks. Hidden in the back of a thai restaurant
Downtown,Santee Alley,Activity,santee.png,phone,$,720,20,2/302,,2/302 (to downtown),34.037342,-118.255689,http://www.thesanteealley.com/,"Streets are filled with cheap knock-offs, smoking goods, knives, and Mexican street food. The papaya juice at the end of the alley is definitely worth a try"
Downtown,Viewpoint,Chill,view.jpg,"photo credit: <a href=""https://www.flickr.com/photos/billgarrett-newagecrap/6055392672/"">newagecrap</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",0,Drive,,,,,34.070376,-118.246644,,1085 White Knoll Drive- closeup view of downtown
Downtown,LA Gun Club,Activity,la_gun_club.png,phone,$$$,720,,,,720 (6th/centra,34.038705,-118.234334,http://www.thelosangelesgunclub.com/,Here's your chance to use firearms- they have a large selection of guns and targets
Downtown,Natural History Museum of LA County,Chill,nat_hist.jpg,"photo credit: <a href=""https://www.flickr.com/photos/nevercoolinschool/3186682170/"">Leslie Kalohi / nevercoolinschool.com</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$,12,806,,,806 extension,34.017009,-118.288953,http://www.nhm.org/site/,Dinosaur bones and other animal exhibits
Downtown,USC,Chill,usc.jpg,"photo credit: <a href=""https://www.flickr.com/photos/aaronjacobs/111505992/"">Aaron Jacobs</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",0,12,806,,,806 extension,34.022659,-118.28597,http://viterbivoices.usc.edu/zachg/the-best-free-things-ataround-usc/,"Gated school, sketch neighborhood at night"
Downtown,California Science Center,Chill,csc.jpg,"photo credit: <a href=""https://www.flickr.com/photos/nasahqphoto/8139347076/"">NASA HQ PHOTO</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$,12,806,,,806 extension,34.01592,-118.286314,http://www.californiasciencecenter.org/,"Visit the space shuttle, Endeavour, at this museum "
Downtown,Exposition Rose Garden,Chill,rose.jpg,"photo credit: <a href=""https://www.flickr.com/photos/waltarrrrr/3886725118/"">waltarrrrr</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,12,806,,,806 extension,34.017229,-118.28619,http://www.laparks.org/exporosegarden/rosegarden.htm,Large variety of roses and a well-kept lawn to laze around it
Downtown,Underground Subway,Explore,a_sub.jpg,"photo credit: <a href=""https://www.flickr.com/photos/knile/490703218/"">Knile</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,720,20,,,,34.04299,-118.248537,http://www.atlasobscura.com/Chill/underground-tunnels-los-angeles,Old subway system under downtown LA- good luck finding the entrance (not behind Hall of Records though- location is random point)
Downtown,Walt Disney Concert Hall,Chill,disney_hall.jpg,phone,0,2/302,,,,,34.055238,-118.249883,http://www.laphil.com/,"Neat architecture, have a quiet spot in the back with tables and a fountain"
Downtown,Central Library ,Chill,central_library.png,phone,0,720,20,,,,34.0506,-118.254869,http://www.lapl.org/branches/central-library,Huge library with displays and exhibits inside. Good for studying or escaping the heat
Downtown,LA City Hall Observation Deck,Chill,deck.jpg,"photo credit: <a href=""https://www.flickr.com/photos/7552532@N07/3513963352/"">ATOMIC Hot Links</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,720,20,,,,34.053381,-118.242714,http://www.365-la.com/2013/03/256-la-city-hall-observation-deck.html,View of the city - go up to the 27th floor
Downtown,Museum of Contemporary Art,Chill,moca.jpg,"photo credit: <a href=""https://www.flickr.com/photos/jpellgen/8068140425/"">jpellgen</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,720,20,,,,34.053249,-118.250587,http://www.moca.org/,"Mordern Art- let your imagination flow. Free every Thurs, 5pm-8pm"
Downtown,Grand Central Market,Food/Drink,grand_central.png,phone,$,720,20,2/302,,to downtown,34.050841,-118.249133,http://www.grandcentralmarket.com/,Tons of ethnic restaurants and markets from Mexican to Thai to German
Downtown,FIDM Coustume Exhibits,Chill,fidm.jpg,"photo credit: <a href=""https://www.flickr.com/photos/shoshanah/67667181/"">Shoshanah</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",0,720,2/302,,,to downtown; to comm/dwtn,34.044209,-118.259952,http://fidmmuseum.org/exhibitions/current/,Free exhibit of costumes from films and tv shows
Downtown,Bradbury Building,Chill,bradbury.png,morgue,0,720,2/302,,,to downtown; to comm/dwtn,34.050526,-118.247837,https://www.laconservancy.org/locations/bradbury-building,Iconic building where movies have been filmed. Interesting architecture to look at
Downtown,Grand Park,Chill,grand_park.jpg,"photo credit: <a href=""https://www.flickr.com/photos/prayitnophotography/8317639856/"">Prayitno / Thank you for (3.5 millions +) views</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",0,2/302,,,,to downtown,34.056188,-118.246826,http://grandparkla.org/,Park in the middle of downtown- markets and events here on occasions
Downtown,Last Bookstore,Chill,last_bookstore.png,phone,$,720,,,,,34.047765,-118.249526,http://lastbookstorela.com/,"Independent bookstore with art galleries, book tunnels, and books (of course). They have a $1 book section to appease the thrifty"
Downtown,Fashion District,Chill,fashion.jpg,"photo credit: <a href=""https://www.flickr.com/photos/faikevin/3375076282/"">Kevin.Fai</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$,720,20,2/302,,to downtown,34.04021,-118.255579,http://fashiondistrict.org/,Clothing and fabric for discounted prices
,,,,,,,,,,,,,,
Sunset,The Griddle,Food/Drink,griddle.jpg,"photo credit: <a href=""https://www.flickr.com/photos/edna_million/13231439523/"">Rust Belt Jessie</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$$,2/302,,,,,34.097784,-118.362258,http://www.thegriddlecafe.com/,Breakfast food served in huge portions. Like HUGE. Long lines weekend mornings.
Sunset,Laugh Factory,Activity,laugh.jpg,"photo credit: <a href=""https://www.flickr.com/photos/laughingsquid/323314304/"">Scott Beale</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$$,2/302,,,,,34.098192,-118.364494,http://www.laughfactory.com/clubs/hollywood,"Weekly comedy acts, 2 drink minimum- really good first date spot"
Sunset,Saddle Ranch,Food/Drink,saddle.jpg,"photo credit: <a href=""https://www.flickr.com/photos/thomashawk/3241670025/"">Thomas Hawk</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$$,2/302,,,,,34.095584,-118.372066,http://www.thesaddleranch.com/,Restaurant with a mechanical bull
Sunset,Cabo Cantina,Food/Drink,cabo.jpg,"photo credit: <a href=""https://www.flickr.com/photos/brianwilkins/6669531773/"">Brian Wilkins</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$,2/302,,,,,34.10181673,-118.3356,http://www.cabocantina.com/,"Taco Tuesdays- $5 for all you can eat tacos, BOGO beers. Sundays- bottomless mamosas"
Sunset,Whipp'd LA,Food/Drink,dole.jpg,"photo credit: <a href=""https://www.flickr.com/photos/aloha75/9613691892/"">Sam Howzit</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",$,2/302,,,,,34.091094,-118.362069,http://www.whippedla.com/,Dole Pinapple ice cream is all you need to know
,,,,,,,,,,,,,,
West Hollywood,Melrose Street,Chill,melrose.jpg,"photo credit: <a href=""https://www.flickr.com/photos/seandavis/9217382233/"">Sean Davis</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nd/2.0/"">cc</a>",$,2/302,,,,,34.083778,-118.361311,http://www.melroseavenue-shop.com/,"Range of odd and end shops, thrift stores- flea markets every Sunday selling random stuff such as polaroid cameras and jewelry "
West Hollywood,Groundlings Show,Activity,ground.jpg,"photo credit: <a href=""https://www.flickr.com/photos/escapist/472018192/"">jasonEscapist</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$,2/302,,,,,34.083668,-118.349041,http://www.groundlings.com/,Improv comedy
West Hollywood,Pink's Hotdogs,Food/Drink,pinks.png,phone,$,2/302,,,,,34.083701,-118.344249,http://www.pinkshollywood.com/,"The original Pink's, hella different types "
West Hollywood,Sonos Studio,Activity,sonos.jpg,"photo credit: <a href=""https://www.flickr.com/photos/leyink/8561039406/"">leyink</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",0,720,,,,,34.075129,-118.344362,sonos-studio.com,"Free shows, listening parties, and interview sessions- oh, and free booze. Expect lines"
West Hollywood,MILK,Food/Drink,milk.jpg,"photo credit: <a href=""https://www.flickr.com/photos/96475176@N07/9662230040/"">Man-E671</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$,720,,,,,34.07597,-118.34851,http://www.themilkshop.com/,Dessert and macaroons
West Hollywood,Paramount Pictures Studio,Activity,paramount.jpg,"photo credit: <a href=""https://www.flickr.com/photos/leosoueu/10779495945/"">leosoueu</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$$$,720,2/302,,,1 to 4; 720 to DASH; 2/302 to 757,34.085356,-118.319152,http://www.paramount.com/,Studio tours
West Hollywood,Hollywood Forever Cemetery ,Activity,forever.jpg,"photo credit: <a href=""https://www.flickr.com/photos/rocor/11179766935/"">rocor</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$,2/302,,,,,34.090319,-118.319931,http://cinespia.org/,Host outdoor movie screenings every week
West Hollywood,Runyon Canyon,Explore,runyon.jpg,"photo credit: <a href=""https://www.flickr.com/photos/chrisgold/8932655099/"">ChrisGoldNY</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",0,2/302,,,,,34.112728,-118.350852,http://runyoncanyon-losangeles.com/,Steep hike up to another view of LA. Lots of abs and yoga pants
West Hollywood,Canter's Deli,Food/Drink,canters.jpg,"photo credit: <a href=""https://www.flickr.com/photos/laughingsquid/272468302/"">Scott Beale</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,2/302,,,,,34.078897,-118.361751,http://www.cantersdeli.com/,Old school food- favorite among many in LA
West Hollywood,Chibiscus,Food/Drink,chib.png,phone,$,2/302,,,,,34.098194,-118.350457,http://chibiscus.com/,Best brick toast outside the 626
,,,,,,,,,,,,,,
Echo Park,Time Mart,Chill,time_mart.png,morgue,$,2/302,,,,to sunset/alvarado,34.077273,-118.258909,http://826la.org/store/,"Odd ""time travel"" gifts, proceeds help tutor children in writing. "
Echo Park,Park,Chill,echopark_lake.png,morgue,0,2/302,,,,to sunset/alvarado,34.0753,-118.260674,http://www.yelp.com/biz/echo-park-lake-los-angeles,"Good place to relax, can rent a pedal boat to take onto the lake"
Echo Park,Mohawk Alley Animal Hospital,Activity,mohawk.jpg,"photo credit: <a href=""https://www.flickr.com/photos/404nothinghere/3614978692/"">miramar2009</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,2/302,,,,to sunset/alvarado,34.077422,-118.265885,http://mohawkalleyanimalhospital.com/,Who doesn't like to play with cute animals
,,,,,,,,,,,,,,
Mid-Wilshire,LACMA,Chill,lacma.jpg,"photo credit: <a href=""https://www.flickr.com/photos/greggjaden/9672064378/"">Gregg Jaden</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,720,20,,,,34.063825,-118.359277,http://www.lacma.org/,"Modern art, random/interesting sculptures and art pieces- good for a day trip. Look for free days, every 2nd Tuesdays, Memorial day"
Mid-Wilshire,La Brea Tar pits,Chill,brea.jpg,"photo credit: <a href=""https://www.flickr.com/photos/31867959@N04/6948143025/"">Dallas Krentzel</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",$,720,20,,,,34.063811,-118.355936,http://www.tarpits.org/,History of prehistoric animals that were trapped in the mud pits there
Mid-Wilshire,Little Ethiopia,Food/Drink,ethiopia.jpg,"photo credit: <a href=""https://www.flickr.com/photos/kellybone/6381887277/"">kelly bone</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,720,20,,,,34.056748,-118.364332,http://www.discoverlosangeles.com/blog/definitive-guide-little-ethiopia,Have you tried Ethiopian food? Now you can say 'yes'
Mid-Wilshire,Museum of Tolerance,Chill,tolerance.jpg,"photo credit: <a href=""https://www.flickr.com/photos/gocardusa/3881965666/"">Smart Destinations</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",$,Drive,,,,,34.053835,-118.401836,http://www.museumoftolerance.com/site/c.tmL6KfNVLtH/b.9052747/k.2DD0/HomeMOTNew.htm,Holocaust memorial museum
Mid-Wilshire,The Grove,Chill,grove.jpg,"photo credit: <a href=""https://www.flickr.com/photos/ericejohnson/2619193460/"">Eric E Johnson</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,720,20,,,,34.071939,-118.357227,http://www.thegrovela.com/,Shopping center with upscale stores and street vendors. Also have farmers markets on the regular
Mid-Wilshire,El Chato,Food/Drink,chato.jpg,"photo credit: <a href=""https://www.flickr.com/photos/68147320@N02/9118922078/"">T.Tseng</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",$,720,,,,,34.057099,-118.346186,http://www.yelp.com/biz/el-chato-taco-truck-los-angeles-2,"Good, cheap Mexican food truck- located at 5300 W Olympic Blvd"
Mid-Wilshire,La Cienega- Restaurant Row,Food/Drink,fogo.jpg,"photo credit: <a href=""https://www.flickr.com/photos/quinnanya/2370530186/"">quinn.anya</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",$$$,720,20,,,,34.0659,-118.376352,http://www.yelp.com/list/restaurant-row-on-la-cienega-blvd-beverly-hills,"Fogo de Chao (Brazillian BBQ), Lawry's, Stinking Rose, etc. Go during Dine LA"
,,,,,,,,,,,,,,
Culver City,Kenneth Hahn State Rec Area,Chill,ken.jpg,"photo credit: <a href=""https://www.flickr.com/photos/jeremymiles/2966383534/"">BeautifulFreaks</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",$,Drive,,,,,34.00824,-118.364737,http://www.yelp.com/biz/kenneth-hahn-state-recreation-area-los-angeles,Chill park to relax in with a view
Culver City,Museum of Jurassic Technology,Chill,jurassic.png,phone,$,12,,,,,34.02579,-118.395027,http://www.mjt.org/,Smoke a bowl before going. Trust me. 
Culver City,Honey's Kettle Chicken,Food/Drink,honeyskettle.png,phone,$,12,,,,,34.023125,-118.395382,http://www.yelp.com/c/culver-city-ca-us/food,Bomb fried chicken and biscuits- best eaten with their honey
Culver City,Father's Office,Food/Drink,fo.png,phone,$$,12,,,,,34.030358,-118.384786,http://fathersoffice.com/,Amazing burgers and beers; 21+
Culver City,Baldwin Hills Scenic Overlook,Chill,baldwin.png,phone,0,12,,,,,34.018236,-118.381599,http://www.parks.ca.gov/?page_id=22790,Panoramic view of Los Angeles. Parks nearby to play ball or picnic at
Culver City,Sony Pictures Studios ,Activity,sony.jpg,"photo credit: <a href=""https://www.flickr.com/photos/puck90/223343654/"">puck90</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$,12,,,,,34.017289,-118.401951,http://sonypicturesstudios.com/,"TV tapings here. Register early, interesting crowd of people"
,,,,,,,,,,,,,,
Hollywood/Griffith,Upright Citizens Brigade Theatre,Activity,ucb.png,phone,$,2/302,,,,,34.1054,-118.318807,http://losangeles.ucbtheatre.com/,"Comedy shows- improv, sketch, and standup"
Hollywood/Griffith,Hollywood Bowl,Chill,bowl.jpg,"photo credit: <a href=""https://www.flickr.com/photos/mykalburns/2630161266/"">Burns!</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$$,2/302,,,,,34.111864,-118.339187,http://www.hollywoodbowl.com/,Catch a concert here at this amphitheater 
Hollywood/Griffith,Walk of Fame,Chill,walk.jpg,"photo credit: <a href=""https://www.flickr.com/photos/44461337@N06/5358004710/"">gtall1</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",0,2/302,,,,,34.101428,-118.342259,http://www.walkoffame.com/,It's Hollywood
Hollywood/Griffith,Amoeba Records,Chill,amoeba.jpg,"photo credit: <a href=""https://www.flickr.com/photos/thomashawk/6484395403/"">Thomas Hawk</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$,2/302,,,,,34.097565,-118.329003,http://www.amoeba.com/,Huge record store-  $1 CD section if you feel experimental
Hollywood/Griffith,Museum of Death,Chill,death.jpg,"photo credit: <a href=""https://www.flickr.com/photos/waltarrrrr/6365119603/"">waltarrrrr</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$$,2/302,,,,,34.101859,-118.321222,http://www.museumofdeath.net/,Interesting muesuem with everything dealing with death
Hollywood/Griffith,Universal Citywalk,Activity,citywalk.png,morgue,$,2/302,,,,Red line extension,34.137085,-118.353303,http://www.citywalkhollywood.com/,Shops and restaurants 
Hollywood/Griffith,Universal Studios,Activity,universals.png,phone,$$,2/302,,,,Red line extension,34.137997,-118.353576,http://www.universalstudioshollywood.com/,"Amusement park rides, Horror Nights - discount tickets at CTO"
Hollywood/Griffith,Little Armenia ,Food/Drink,l_arm.png,phone,$$,2/302,,,,,34.101365,-118.301372,http://www.littlearmenia.com/spotlight/restaurants/,Armenian food
Hollywood/Griffith,Mulholland Memorial Fountain,Chill,mfountain,phone,0,Drive,,,,,34.115414,-118.271297,http://www.yelp.com/biz/william-mulholland-memorial-fountain-los-angeles,Fountain lit up by multicolored lights
Hollywood/Griffith,Abandoned LA Zoo,Activity,zoo.jpg,"photo credit: <a href=""https://www.flickr.com/photos/kathrynhansen/5076024506/"">kathrynhansen</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,20,,,,201 extension,34.133862,-118.288513,http://www.yelp.com/biz/the-old-zoo-los-angeles-2,Old LA zoo- can sneak past the fences and walk around the cages 
Hollywood/Griffith,Hollywood Sign Hike,Explore,hollywood_sign.png,morgue,0,2/302,,,,,34.133995,-118.321682,http://www.hollywoodsign.org/,Classic hike which takes you up to the Hollywood sign
Hollywood/Griffith,Bronson Caves,Explore,bronson_caves.png,phone,0,2/302,,,,,34.121202,-118.314439,http://en.wikipedia.org/wiki/Bronson_Canyon,"Near the trailhead, these caves were used to film movies such as Batman"
Hollywood/Griffith,Griffith Park,Explore,g_p.jpg,"photo credit: <a href=""https://www.flickr.com/photos/cwsteeds/5337739724/"">Clinton Steeds</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",0,2/302,,,,DASH extension,34.136425,-118.294302,http://www.laparks.org/dos/parks/griffithpk/,"Hiking trails that go everywhere, from the Hollywood sign to a viewpoint of LA and Giffith Observatory"
Hollywood/Griffith,Griffith Observatroy,Chill,g_o.jpg,"photo credit: <a href=""https://www.flickr.com/photos/pedrosz/5895986083/"">szeke</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",0,2/302,,,,DASH extension,34.118101,-118.300614,http://www.griffithobs.org/,Observatory with planetary exhibits and a view of LA. Popular spot to visit during both day and night
Hollywood/Griffith,Thai Town,Food/Drink,pa_ord.png,phone,$,2/302,,,,,34.098459,-118.306156,http://www.discoverlosangeles.com/blog/definitive-guide-thai-town,"Pa Ord (bomb noodles/thai tea), "
Hollywood/Griffith,Yamashiro Farmer's Market,Food/Drink,yama.jpg,"photo credit: <a href=""https://www.flickr.com/photos/santos/4816147923/"">chotda</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,2/302,,,,to sunset/alvarado,34.105467,-118.342218,http://www.yamashirorestaurant.com/tag/yamashiro-farmers-market/,Great view of LA while buying local produce and foods- tacos are a favorite here. Every Thursday in the summer
Hollywood/Griffith,Egyptian Theater,Chill,egypt.jpg,"photo credit: <a href=""https://www.flickr.com/photos/19779889@N00/2476766241/"">arbyreed</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$,2/302,,,,,34.10121,-118.336623,http://egyptiantheatre.com/egyptian/egypt.htm,Old theater with historic architecture- one of LA's hidden gems
